;Cluster;Wochentag;Ankunftszeit;Nummer;Pausentyp;Kapazitaet;Max_Leistung;SOC;SOC_Target;Pausenlaenge;Ladesäule;Zeit_DateTime;Ankunftszeit_total;LoadStatus
1249;2;1;1030;191;Nachtlader;960;1200;0,2414498939482947;1,0;540;NCS;2021-01-01 17:10:00;1030;0
1250;2;1;1030;192;Nachtlader;840;1200;0,3591901894795184;1,0;540;NCS;2021-01-01 17:10:00;1030;0
1252;2;1;1035;194;Nachtlader;840;1200;0,2443872804841696;1,0;540;NCS;2021-01-01 17:15:00;1035;0
1257;2;1;1045;199;Nachtlader;960;1200;0,3319506806479682;1,0;540;NCS;2021-01-01 17:25:00;1045;1
1258;2;1;1045;200;Nachtlader;960;1200;0,351813212840757;1,0;540;NCS;2021-01-01 17:25:00;1045;0
1259;2;1;1050;201;Nachtlader;960;1200;0,2111379289738816;1,0;540;NCS;2021-01-01 17:30:00;1050;0
1261;2;1;1055;203;Nachtlader;960;1200;0,2297099579796954;1,0;540;NCS;2021-01-01 17:35:00;1055;1
1264;2;1;1065;206;Nachtlader;600;750;0,3522936675172988;1,0;540;NCS;2021-01-01 17:45:00;1065;1
1265;2;1;1065;207;Nachtlader;960;1200;0,2135130610569067;1,0;540;NCS;2021-01-01 17:45:00;1065;1
1268;2;1;1070;210;Nachtlader;960;1200;0,2456158142021125;1,0;540;NCS;2021-01-01 17:50:00;1070;1
1269;2;1;1070;211;Nachtlader;960;1200;0,2123886601722616;1,0;540;NCS;2021-01-01 17:50:00;1070;1
1270;2;1;1075;212;Nachtlader;720;750;0,2037415507289036;1,0;540;NCS;2021-01-01 17:55:00;1075;1
1271;2;1;1075;213;Nachtlader;960;1200;0,3240660339908907;1,0;540;NCS;2021-01-01 17:55:00;1075;1
1272;2;1;1075;214;Nachtlader;840;1200;0,3265548283691183;1,0;540;NCS;2021-01-01 17:55:00;1075;1
1273;2;1;1080;215;Nachtlader;840;1200;0,3320767686583408;1,0;540;NCS;2021-01-01 18:00:00;1080;1
1274;2;1;1085;216;Nachtlader;960;1200;0,3693124766344407;1,0;540;NCS;2021-01-01 18:05:00;1085;1
1275;2;1;1085;217;Nachtlader;960;1200;0,2577541810586298;1,0;540;NCS;2021-01-01 18:05:00;1085;1
1276;2;1;1085;218;Nachtlader;960;1200;0,2202894679993131;1,0;540;NCS;2021-01-01 18:05:00;1085;1
1279;2;1;1090;221;Nachtlader;960;1200;0,3720172217627032;1,0;540;NCS;2021-01-01 18:10:00;1090;1
1283;2;1;1105;225;Nachtlader;960;1200;0,2365987507926481;1,0;540;NCS;2021-01-01 18:25:00;1105;1
1284;2;1;1105;226;Nachtlader;960;1200;0,2326637112571587;1,0;540;NCS;2021-01-01 18:25:00;1105;1
1285;2;1;1105;227;Nachtlader;960;1200;0,2956940614711786;1,0;540;NCS;2021-01-01 18:25:00;1105;1
1287;2;1;1110;229;Nachtlader;840;1200;0,3038084401238031;1,0;540;NCS;2021-01-01 18:30:00;1110;1
1288;2;1;1110;230;Nachtlader;720;750;0,2984917083456249;1,0;540;NCS;2021-01-01 18:30:00;1110;1
1290;2;1;1115;232;Nachtlader;720;750;0,2071289668575504;1,0;540;NCS;2021-01-01 18:35:00;1115;1
1291;2;1;1115;233;Nachtlader;960;1200;0,2144419848273257;1,0;540;NCS;2021-01-01 18:35:00;1115;1
1295;2;1;1125;237;Nachtlader;840;1200;0,3591376910914879;1,0;540;NCS;2021-01-01 18:45:00;1125;0
1296;2;1;1125;238;Nachtlader;600;750;0,2861863308639117;1,0;540;NCS;2021-01-01 18:45:00;1125;0
1297;2;1;1125;239;Nachtlader;960;1200;0,3456023763052641;1,0;540;NCS;2021-01-01 18:45:00;1125;0
1299;2;1;1130;241;Nachtlader;720;750;0,2652911162816965;1,0;540;NCS;2021-01-01 18:50:00;1130;0
1300;2;1;1130;242;Nachtlader;960;1200;0,234496266323652;1,0;540;NCS;2021-01-01 18:50:00;1130;0
1301;2;1;1130;243;Nachtlader;840;1200;0,2637408333668933;1,0;540;NCS;2021-01-01 18:50:00;1130;0
1304;2;1;1135;246;Nachtlader;960;1200;0,292173712555241;1,0;540;NCS;2021-01-01 18:55:00;1135;1
1306;2;1;1145;248;Nachtlader;600;750;0,1994491127445753;1,0;540;NCS;2021-01-01 19:05:00;1145;1
1307;2;1;1145;249;Nachtlader;960;1200;0,1851304855155308;1,0;540;NCS;2021-01-01 19:05:00;1145;1
1308;2;1;1145;250;Nachtlader;840;1200;0,2853881173860466;1,0;540;NCS;2021-01-01 19:05:00;1145;1
1309;2;1;1145;251;Nachtlader;960;1200;0,2274598246900733;1,0;540;NCS;2021-01-01 19:05:00;1145;1
1310;2;1;1145;252;Nachtlader;960;1200;0,2470168818732522;1,0;540;NCS;2021-01-01 19:05:00;1145;1
1311;2;1;1145;253;Nachtlader;720;750;0,211932163021097;1,0;540;NCS;2021-01-01 19:05:00;1145;1
1312;2;1;1145;254;Nachtlader;960;1200;0,23866516037996;1,0;540;NCS;2021-01-01 19:05:00;1145;1
1314;2;1;1150;256;Nachtlader;960;1200;0,2066562917405282;1,0;540;NCS;2021-01-01 19:10:00;1150;1
1315;2;1;1150;257;Nachtlader;720;750;0,3237878400210314;1,0;540;NCS;2021-01-01 19:10:00;1150;1
1316;2;1;1150;258;Nachtlader;840;1200;0,3125014525347298;1,0;540;NCS;2021-01-01 19:10:00;1150;1
1319;2;1;1155;261;Nachtlader;600;750;0,343072707932199;1,0;540;NCS;2021-01-01 19:15:00;1155;1
1320;2;1;1155;262;Nachtlader;840;1200;0,2426569335004169;1,0;540;NCS;2021-01-01 19:15:00;1155;1
1325;2;1;1165;267;Nachtlader;840;1200;0,2972211888857312;1,0;540;NCS;2021-01-01 19:25:00;1165;1
1326;2;1;1165;268;Nachtlader;960;1200;0,2562559455663331;1,0;540;NCS;2021-01-01 19:25:00;1165;1
1328;2;1;1170;270;Nachtlader;840;1200;0,2962779938733004;1,0;540;NCS;2021-01-01 19:30:00;1170;1
1329;2;1;1170;271;Nachtlader;960;1200;0,2103872272915122;1,0;540;NCS;2021-01-01 19:30:00;1170;1
1335;2;1;1175;277;Nachtlader;720;750;0,2913613467890895;1,0;540;NCS;2021-01-01 19:35:00;1175;1
1336;2;1;1175;278;Nachtlader;600;750;0,2970186253723327;1,0;540;NCS;2021-01-01 19:35:00;1175;1
1339;2;1;1180;281;Nachtlader;600;750;0,258021406935944;1,0;540;NCS;2021-01-01 19:40:00;1180;1
1343;2;1;1185;285;Nachtlader;840;1200;0,1820788171808366;1,0;540;NCS;2021-01-01 19:45:00;1185;1
1344;2;1;1185;286;Nachtlader;960;1200;0,3142498379059142;1,0;540;NCS;2021-01-01 19:45:00;1185;1
1353;2;1;1200;295;Nachtlader;840;1200;0,1989294371792659;1,0;540;NCS;2021-01-01 20:00:00;1200;1
1354;2;1;1200;296;Nachtlader;600;750;0,3342301470851964;1,0;540;NCS;2021-01-01 20:00:00;1200;1
1355;2;1;1200;297;Nachtlader;600;750;0,2399958157930789;1,0;540;NCS;2021-01-01 20:00:00;1200;1
1356;2;1;1200;298;Nachtlader;960;1200;0,1812064314065886;1,0;540;NCS;2021-01-01 20:00:00;1200;1
1358;2;1;1205;300;Nachtlader;960;1200;0,2654922655479788;1,0;540;NCS;2021-01-01 20:05:00;1205;1
1359;2;1;1205;301;Nachtlader;960;1200;0,2343243163907182;1,0;540;NCS;2021-01-01 20:05:00;1205;1
1360;2;1;1210;302;Nachtlader;720;750;0,3222864658599972;1,0;540;NCS;2021-01-01 20:10:00;1210;1
1361;2;1;1210;303;Nachtlader;960;1200;0,3344203090755669;1,0;540;NCS;2021-01-01 20:10:00;1210;1
1362;2;1;1210;304;Nachtlader;960;1200;0,2470124738605331;1,0;540;NCS;2021-01-01 20:10:00;1210;1
1367;2;1;1215;309;Nachtlader;960;1200;0,2804300240245894;1,0;540;NCS;2021-01-01 20:15:00;1215;1
1368;2;1;1215;310;Nachtlader;960;1200;0,3254877341877982;1,0;540;NCS;2021-01-01 20:15:00;1215;1
1372;2;1;1220;314;Nachtlader;720;750;0,3282892812451471;1,0;540;NCS;2021-01-01 20:20:00;1220;1
1373;2;1;1220;315;Nachtlader;600;750;0,2265917142871116;1,0;540;NCS;2021-01-01 20:20:00;1220;1
1374;2;1;1220;316;Nachtlader;840;1200;0,3327826122561011;1,0;540;NCS;2021-01-01 20:20:00;1220;1
1380;2;1;1235;322;Nachtlader;960;1200;0,3451131857717621;1,0;540;NCS;2021-01-01 20:35:00;1235;1
1382;2;1;1240;324;Nachtlader;600;750;0,2732898883933176;1,0;540;NCS;2021-01-01 20:40:00;1240;1
1383;2;1;1240;325;Nachtlader;720;750;0,2795423199531058;1,0;540;NCS;2021-01-01 20:40:00;1240;1
1384;2;1;1240;326;Nachtlader;720;750;0,3523498778020402;1,0;540;NCS;2021-01-01 20:40:00;1240;1
1385;2;1;1240;327;Nachtlader;840;1200;0,2412066841862247;1,0;540;NCS;2021-01-01 20:40:00;1240;1
1386;2;1;1245;328;Nachtlader;960;1200;0,3162700894498699;1,0;540;NCS;2021-01-01 20:45:00;1245;1
1387;2;1;1245;329;Nachtlader;840;1200;0,2055287883963531;1,0;540;NCS;2021-01-01 20:45:00;1245;1
1388;2;1;1245;330;Nachtlader;840;1200;0,34446054472608;1,0;540;NCS;2021-01-01 20:45:00;1245;1
1389;2;1;1245;331;Nachtlader;840;1200;0,2627156857004307;1,0;540;NCS;2021-01-01 20:45:00;1245;1
1390;2;1;1245;332;Nachtlader;840;1200;0,2305874452391899;1,0;540;NCS;2021-01-01 20:45:00;1245;1
1391;2;1;1250;333;Nachtlader;960;1200;0,1740775157578178;1,0;540;NCS;2021-01-01 20:50:00;1250;1
1392;2;1;1250;334;Nachtlader;960;1200;0,3391849288064173;1,0;540;NCS;2021-01-01 20:50:00;1250;1
1394;2;1;1255;336;Nachtlader;840;1200;0,1872870685912965;1,0;540;NCS;2021-01-01 20:55:00;1255;1
1395;2;1;1255;337;Nachtlader;960;1200;0,313254642536006;1,0;540;NCS;2021-01-01 20:55:00;1255;1
1396;2;1;1255;338;Nachtlader;960;1200;0,2992944221319193;1,0;540;NCS;2021-01-01 20:55:00;1255;1
1399;2;1;1260;341;Nachtlader;720;750;0,2014984005085422;1,0;540;NCS;2021-01-01 21:00:00;1260;1
1402;2;1;1270;344;Nachtlader;840;1200;0,213561219682085;1,0;540;NCS;2021-01-01 21:10:00;1270;1
1403;2;1;1270;345;Nachtlader;600;750;0,2126637291900104;1,0;540;NCS;2021-01-01 21:10:00;1270;1
1404;2;1;1270;346;Nachtlader;960;1200;0,2173644940415597;1,0;540;NCS;2021-01-01 21:10:00;1270;1
1407;2;1;1280;349;Nachtlader;840;1200;0,3211929293695578;1,0;540;NCS;2021-01-01 21:20:00;1280;1
1408;2;1;1285;350;Nachtlader;720;750;0,1854544860006372;1,0;540;NCS;2021-01-01 21:25:00;1285;1
1409;2;1;1285;351;Nachtlader;600;750;0,2806214908227585;1,0;540;NCS;2021-01-01 21:25:00;1285;1
1410;2;1;1290;352;Nachtlader;840;1200;0,1919856901264237;1,0;540;NCS;2021-01-01 21:30:00;1290;1
1411;2;1;1290;353;Nachtlader;840;1200;0,1420400794678934;1,0;540;NCS;2021-01-01 21:30:00;1290;1
1412;2;1;1290;354;Nachtlader;960;1200;0,1942138499426799;1,0;540;NCS;2021-01-01 21:30:00;1290;1
1413;2;1;1300;355;Nachtlader;960;1200;0,3253512489384481;1,0;540;NCS;2021-01-01 21:40:00;1300;1
1415;2;1;1305;357;Nachtlader;960;1200;0,1999882048673351;1,0;540;NCS;2021-01-01 21:45:00;1305;1
1417;2;1;1325;359;Nachtlader;840;1200;0,1693056756012626;1,0;540;NCS;2021-01-01 22:05:00;1325;1
1418;2;1;1325;360;Nachtlader;960;1200;0,1938658754703036;1,0;540;NCS;2021-01-01 22:05:00;1325;1
1420;2;1;1335;362;Nachtlader;720;750;0,311492759591237;1,0;540;NCS;2021-01-01 22:15:00;1335;1
1421;2;1;1335;363;Nachtlader;840;1200;0,3253137800981376;1,0;540;NCS;2021-01-01 22:15:00;1335;1
1422;2;1;1345;364;Nachtlader;600;750;0,2387762402622416;1,0;540;NCS;2021-01-01 22:25:00;1345;1
1423;2;1;1345;365;Nachtlader;720;750;0,2063651311042703;1,0;540;NCS;2021-01-01 22:25:00;1345;1
1424;2;1;1350;366;Nachtlader;960;1200;0,2839848840605798;1,0;540;NCS;2021-01-01 22:30:00;1350;1
1425;2;1;1355;367;Nachtlader;960;1200;0,2790382389603352;1,0;540;NCS;2021-01-01 22:35:00;1355;1
1426;2;1;1365;368;Nachtlader;960;1200;0,2477576093528599;1,0;540;NCS;2021-01-01 22:45:00;1365;1
1427;2;1;1375;369;Nachtlader;960;1200;0,1340721842546007;1,0;540;NCS;2021-01-01 22:55:00;1375;1
1428;2;1;1375;370;Nachtlader;840;1200;0,1813943009471691;1,0;540;NCS;2021-01-01 22:55:00;1375;1
1429;2;1;1405;371;Nachtlader;960;1200;0,1821678427454373;1,0;540;NCS;2021-01-01 23:25:00;1405;1
1430;2;1;1410;372;Nachtlader;960;1200;0,1322919073589381;1,0;540;NCS;2021-01-01 23:30:00;1410;1
1431;2;1;1410;373;Nachtlader;840;1200;0,2140397325007404;1,0;540;NCS;2021-01-01 23:30:00;1410;1
1432;2;1;1415;374;Nachtlader;600;750;0,2969494419639495;1,0;540;NCS;2021-01-01 23:35:00;1415;1
1433;2;1;1415;375;Nachtlader;960;1200;0,262563620781608;1,0;540;NCS;2021-01-01 23:35:00;1415;1
1436;2;1;1425;378;Nachtlader;720;750;0,1898207113813237;1,0;540;NCS;2021-01-01 23:45:00;1425;1
1437;2;1;1430;379;Nachtlader;600;750;0,1308403015861198;1,0;540;NCS;2021-01-01 23:50:00;1430;1
1440;2;2;15;382;Nachtlader;720;750;0,2296595054597603;1,0;540;NCS;2021-01-02 00:15:00;1455;1
1441;2;2;35;383;Nachtlader;600;750;0,2548971206239582;1,0;540;NCS;2021-01-02 00:35:00;1475;1
1442;2;2;45;384;Nachtlader;840;1200;0,2567003005175817;1,0;540;NCS;2021-01-02 00:45:00;1485;1
1443;2;2;65;385;Nachtlader;600;750;0,1891651099654032;1,0;540;NCS;2021-01-02 01:05:00;1505;1
1444;2;2;80;386;Nachtlader;960;1200;0,1652340508256507;1,0;540;NCS;2021-01-02 01:20:00;1520;1
1445;2;2;115;387;Nachtlader;960;1200;0,1193389119575134;1,0;540;NCS;2021-01-02 01:55:00;1555;1
1446;2;2;120;388;Nachtlader;960;1200;0,1098588985528832;1,0;540;NCS;2021-01-02 02:00:00;1560;1
1447;2;2;140;389;Nachtlader;840;1200;0,2943690602650969;1,0;540;NCS;2021-01-02 02:20:00;1580;1
1448;2;2;155;390;Nachtlader;720;750;0,2175596898743369;1,0;540;NCS;2021-01-02 02:35:00;1595;1
1449;2;2;240;391;Nachtlader;960;1200;0,1774446282420414;1,0;540;NCS;2021-01-02 04:00:00;1680;1
1615;2;2;920;557;Nachtlader;960;1200;0,2648794054352025;1,0;540;NCS;2021-01-02 15:20:00;2360;1
1622;2;2;935;564;Nachtlader;960;1200;0,3252029188680446;1,0;540;NCS;2021-01-02 15:35:00;2375;1
1625;2;2;940;567;Nachtlader;960;1200;0,2677041659981037;1,0;540;NCS;2021-01-02 15:40:00;2380;1
1626;2;2;950;568;Nachtlader;840;1200;0,2946439567688501;1,0;540;NCS;2021-01-02 15:50:00;2390;1
1628;2;2;955;570;Nachtlader;960;1200;0,3679744551655153;1,0;540;NCS;2021-01-02 15:55:00;2395;1
1629;2;2;960;571;Nachtlader;840;1200;0,3825293098704797;1,0;540;NCS;2021-01-02 16:00:00;2400;0
1637;2;2;975;579;Nachtlader;720;750;0,4092241002783915;1,0;540;NCS;2021-01-02 16:15:00;2415;0
1640;2;2;990;582;Nachtlader;960;1200;0,3515815914135529;1,0;540;NCS;2021-01-02 16:30:00;2430;0
1644;2;2;1005;586;Nachtlader;840;1200;0,2765455967476429;1,0;540;NCS;2021-01-02 16:45:00;2445;1
1645;2;2;1005;587;Nachtlader;960;1200;0,3486374332891306;1,0;540;NCS;2021-01-02 16:45:00;2445;0
1646;2;2;1005;588;Nachtlader;840;1200;0,3497019943692225;1,0;540;NCS;2021-01-02 16:45:00;2445;0
1648;2;2;1010;590;Nachtlader;720;750;0,2579069747773792;1,0;540;NCS;2021-01-02 16:50:00;2450;0
1649;2;2;1010;591;Nachtlader;960;1200;0,4042788979335597;1,0;540;NCS;2021-01-02 16:50:00;2450;0
1653;2;2;1020;595;Nachtlader;720;750;0,3898255123797003;1,0;540;NCS;2021-01-02 17:00:00;2460;0
1654;2;2;1025;596;Nachtlader;840;1200;0,4099308955181679;1,0;540;NCS;2021-01-02 17:05:00;2465;0
1659;2;2;1040;601;Nachtlader;840;1200;0,4042913126367685;1,0;540;NCS;2021-01-02 17:20:00;2480;0
1661;2;2;1045;603;Nachtlader;960;1200;0,3969372354128559;1,0;540;NCS;2021-01-02 17:25:00;2485;0
1663;2;2;1050;605;Nachtlader;960;1200;0,2436464399538091;1,0;540;NCS;2021-01-02 17:30:00;2490;0
1665;2;2;1060;607;Nachtlader;960;1200;0,3627996070438448;1,0;540;NCS;2021-01-02 17:40:00;2500;0
1666;2;2;1060;608;Nachtlader;960;1200;0,3684929218984366;1,0;540;NCS;2021-01-02 17:40:00;2500;0
1669;2;2;1065;611;Nachtlader;720;750;0,2840288672959974;1,0;540;NCS;2021-01-02 17:45:00;2505;0
1670;2;2;1070;612;Nachtlader;720;750;0,3013005848109671;1,0;540;NCS;2021-01-02 17:50:00;2510;0
1671;2;2;1070;613;Nachtlader;960;1200;0,2737357759405963;1,0;540;NCS;2021-01-02 17:50:00;2510;0
1674;2;2;1075;616;Nachtlader;960;1200;0,2106915974473753;1,0;540;NCS;2021-01-02 17:55:00;2515;0
1675;2;2;1075;617;Nachtlader;840;1200;0,2322369999219498;1,0;540;NCS;2021-01-02 17:55:00;2515;0
1676;2;2;1080;618;Nachtlader;960;1200;0,2112074628183339;1,0;540;NCS;2021-01-02 18:00:00;2520;0
1677;2;2;1080;619;Nachtlader;960;1200;0,3077141269082729;1,0;540;NCS;2021-01-02 18:00:00;2520;0
1682;2;2;1090;624;Nachtlader;600;750;0,2847887348537719;1,0;540;NCS;2021-01-02 18:10:00;2530;0
1683;2;2;1090;625;Nachtlader;600;750;0,2219322934320755;1,0;540;NCS;2021-01-02 18:10:00;2530;0
1686;2;2;1095;628;Nachtlader;840;1200;0,2945851600292787;1,0;540;NCS;2021-01-02 18:15:00;2535;0
1687;2;2;1100;629;Nachtlader;960;1200;0,2288602793900198;1,0;540;NCS;2021-01-02 18:20:00;2540;0
1688;2;2;1100;630;Nachtlader;960;1200;0,2478016580695593;1,0;540;NCS;2021-01-02 18:20:00;2540;0
1689;2;2;1100;631;Nachtlader;720;750;0,3781344511124797;1,0;540;NCS;2021-01-02 18:20:00;2540;0
1694;2;2;1105;636;Nachtlader;840;1200;0,2844813683978516;1,0;540;NCS;2021-01-02 18:25:00;2545;0
1695;2;2;1105;637;Nachtlader;720;750;0,3466096174080087;1,0;540;NCS;2021-01-02 18:25:00;2545;0
1696;2;2;1110;638;Nachtlader;840;1200;0,3857893759109402;1,0;540;NCS;2021-01-02 18:30:00;2550;0
1697;2;2;1110;639;Nachtlader;960;1200;0,22773527929734;1,0;540;NCS;2021-01-02 18:30:00;2550;0
1698;2;2;1110;640;Nachtlader;960;1200;0,3515254028889707;1,0;540;NCS;2021-01-02 18:30:00;2550;0
1699;2;2;1110;641;Nachtlader;960;1200;0,2942636528901443;1,0;540;NCS;2021-01-02 18:30:00;2550;0
1701;2;2;1115;643;Nachtlader;840;1200;0,2262515836936184;1,0;540;NCS;2021-01-02 18:35:00;2555;0
1704;2;2;1120;646;Nachtlader;720;750;0,3376384468213561;1,0;540;NCS;2021-01-02 18:40:00;2560;0
1705;2;2;1120;647;Nachtlader;840;1200;0,3250755077037704;1,0;540;NCS;2021-01-02 18:40:00;2560;0
1707;2;2;1125;649;Nachtlader;840;1200;0,2713614190215554;1,0;540;NCS;2021-01-02 18:45:00;2565;1
1708;2;2;1125;650;Nachtlader;960;1200;0,3469957487366945;1,0;540;NCS;2021-01-02 18:45:00;2565;0
1709;2;2;1125;651;Nachtlader;720;750;0,3641111481747771;1,0;540;NCS;2021-01-02 18:45:00;2565;0
1710;2;2;1125;652;Nachtlader;720;750;0,3090469697922241;1,0;540;NCS;2021-01-02 18:45:00;2565;0
1711;2;2;1125;653;Nachtlader;960;1200;0,3845344526529318;1,0;540;NCS;2021-01-02 18:45:00;2565;0
1715;2;2;1130;657;Nachtlader;840;1200;0,2467266430734304;1,0;540;NCS;2021-01-02 18:50:00;2570;1
1716;2;2;1130;658;Nachtlader;840;1200;0,32010234602324;1,0;540;NCS;2021-01-02 18:50:00;2570;1
1719;2;2;1135;661;Nachtlader;600;750;0,3780063681583335;1,0;540;NCS;2021-01-02 18:55:00;2575;1
1720;2;2;1135;662;Nachtlader;960;1200;0,2006899034074133;1,0;540;NCS;2021-01-02 18:55:00;2575;1
1721;2;2;1135;663;Nachtlader;600;750;0,347478062320111;1,0;540;NCS;2021-01-02 18:55:00;2575;1
1723;2;2;1140;665;Nachtlader;720;750;0,3693965568142271;1,0;540;NCS;2021-01-02 19:00:00;2580;1
1724;2;2;1145;666;Nachtlader;840;1200;0,1908783687376546;1,0;540;NCS;2021-01-02 19:05:00;2585;1
1725;2;2;1145;667;Nachtlader;840;1200;0,3528120364757894;1,0;540;NCS;2021-01-02 19:05:00;2585;1
1726;2;2;1150;668;Nachtlader;960;1200;0,278927457595487;1,0;540;NCS;2021-01-02 19:10:00;2590;1
1731;2;2;1155;673;Nachtlader;960;1200;0,2896831879505076;1,0;540;NCS;2021-01-02 19:15:00;2595;1
1732;2;2;1155;674;Nachtlader;720;750;0,3443678673530541;1,0;540;NCS;2021-01-02 19:15:00;2595;1
1735;2;2;1160;677;Nachtlader;960;1200;0,2436790246591719;1,0;540;NCS;2021-01-02 19:20:00;2600;1
1740;2;2;1165;682;Nachtlader;840;1200;0,367193702923663;1,0;540;NCS;2021-01-02 19:25:00;2605;1
1741;2;2;1165;683;Nachtlader;960;1200;0,2379994091281795;1,0;540;NCS;2021-01-02 19:25:00;2605;1
1742;2;2;1165;684;Nachtlader;840;1200;0,3192037054028268;1,0;540;NCS;2021-01-02 19:25:00;2605;1
1743;2;2;1165;685;Nachtlader;960;1200;0,2656607376426148;1,0;540;NCS;2021-01-02 19:25:00;2605;1
1746;2;2;1170;688;Nachtlader;960;1200;0,2674216729863671;1,0;540;NCS;2021-01-02 19:30:00;2610;1
1747;2;2;1170;689;Nachtlader;960;1200;0,3143342687009049;1,0;540;NCS;2021-01-02 19:30:00;2610;1
1748;2;2;1170;690;Nachtlader;720;750;0,2935793630358966;1,0;540;NCS;2021-01-02 19:30:00;2610;1
1749;2;2;1170;691;Nachtlader;960;1200;0,2159175879863289;1,0;540;NCS;2021-01-02 19:30:00;2610;1
1750;2;2;1170;692;Nachtlader;720;750;0,1990568516164346;1,0;540;NCS;2021-01-02 19:30:00;2610;1
1751;2;2;1170;693;Nachtlader;840;1200;0,1937423638204709;1,0;540;NCS;2021-01-02 19:30:00;2610;1
1752;2;2;1170;694;Nachtlader;960;1200;0,1834203070317662;1,0;540;NCS;2021-01-02 19:30:00;2610;1
1753;2;2;1170;695;Nachtlader;840;1200;0,3581111065788272;1,0;540;NCS;2021-01-02 19:30:00;2610;1
1757;2;2;1175;699;Nachtlader;840;1200;0,2046040104385357;1,0;540;NCS;2021-01-02 19:35:00;2615;1
1758;2;2;1175;700;Nachtlader;720;750;0,2377553194139595;1,0;540;NCS;2021-01-02 19:35:00;2615;1
1762;2;2;1180;704;Nachtlader;960;1200;0,2054327836580302;1,0;540;NCS;2021-01-02 19:40:00;2620;1
1763;2;2;1180;705;Nachtlader;960;1200;0,3284028900531925;1,0;540;NCS;2021-01-02 19:40:00;2620;1
1764;2;2;1180;706;Nachtlader;720;750;0,2316470567489409;1,0;540;NCS;2021-01-02 19:40:00;2620;1
1765;2;2;1185;707;Nachtlader;840;1200;0,3501860316319437;1,0;540;NCS;2021-01-02 19:45:00;2625;1
1766;2;2;1185;708;Nachtlader;960;1200;0,2587649610568653;1,0;540;NCS;2021-01-02 19:45:00;2625;1
1767;2;2;1185;709;Nachtlader;840;1200;0,2199584816729048;1,0;540;NCS;2021-01-02 19:45:00;2625;1
1768;2;2;1185;710;Nachtlader;960;1200;0,2888490845368059;1,0;540;NCS;2021-01-02 19:45:00;2625;1
1769;2;2;1185;711;Nachtlader;720;750;0,23276195868957;1,0;540;NCS;2021-01-02 19:45:00;2625;1
